VGS_H	VGS_L	VDS_H	VDS_L	ID_H	ID_L	L_d_int	L_s_int	L_g_int	L_d_pin	L_s_pin	L_g_pin	L_dH_ext	L_sH_ext	L_gH_ext	L_dL_ext	L_sL_ext	L_gL_ext	L_Hwire	L_Lwire
2,338755000	1,453654600	13,930385000	28,307122000	1,508077100	2,508981900	9,86e-10	5,43e-09	2,31e-08	1,00e-09	1,00e-09	5,43e-09	5,43e-09	9,86e-09	1,87e-08	9,86e-09	6,00e-09	1,87e-08	5,43e-09	3,20e-08
2,257516000	1,516397400	13,819398000	27,480223000	1,491328300	2,521967900	9,86e-10	5,43e-09	2,31e-08	1,00e-09	1,00e-09	1,43e-08	5,43e-09	9,86e-09	1,87e-08	9,86e-09	6,00e-09	1,87e-08	5,43e-09	5,43e-09
2,355592800	1,474502300	13,825444000	27,899233000	1,495977800	2,513076800	9,86e-10	5,43e-09	2,31e-08	1,00e-09	1,00e-09	1,43e-08	5,43e-09	9,86e-09	1,87e-08	9,86e-09	6,00e-09	1,87e-08	1,00e-09	2,50e-09
2,172876500	1,504674200	13,811113000	27,480364000	1,494462900	2,522496000	9,86e-10	5,43e-09	2,31e-08	1,00e-09	1,00e-09	5,43e-09	5,43e-09	9,86e-09	1,87e-08	9,86e-09	6,00e-09	1,87e-08	1,43e-08	2,50e-09
2,342426200	1,447127300	13,912694000	28,279934000	1,510155600	2,510024900	9,86e-10	5,43e-09	2,31e-08	1,00e-09	1,00e-09	5,43e-09	5,43e-09	9,86e-09	1,87e-08	9,86e-09	6,00e-09	1,87e-08	5,43e-09	1,87e-08
2,618772000	1,267814300	16,996849000	29,583208000	1,611848200	2,208074400	9,86e-10	5,43e-09	2,31e-08	1,00e-09	1,00e-09	5,43e-09	5,43e-09	1,00e-09	6,00e-09	1,00e-09	5,43e-09	1,00e-09	5,43e-09	1,43e-08
2,655518000	1,364276800	14,540127000	29,683496000	1,623489600	2,534081800	9,86e-10	5,43e-09	2,31e-08	1,00e-09	1,00e-09	3,00e-09	5,43e-09	9,86e-09	6,00e-09	9,86e-09	6,00e-09	1,20e-08	5,43e-09	1,43e-08
2,591380600	1,372508900	14,295667000	29,193464000	1,581936900	2,523174800	9,86e-10	5,43e-09	2,76e-08	1,00e-09	1,00e-09	3,00e-09	5,43e-09	9,86e-09	6,00e-09	9,86e-09	6,00e-09	1,20e-08	5,43e-09	1,43e-08
2,616315200	1,265591400	16,988377000	29,618326000	1,600939700	2,197190200	5,43e-10	5,43e-09	2,31e-08	1,00e-09	1,00e-09	5,43e-09	5,43e-09	1,00e-09	6,00e-09	1,00e-09	5,43e-09	1,00e-09	5,43e-09	1,43e-08
2,698948500	1,344729400	15,533309000	29,334198000	1,655058300	2,551371000	5,43e-10	5,43e-09	2,76e-08	5,43e-09	1,00e-09	3,00e-09	1,00e-09	1,00e-09	6,00e-09	1,87e-08	1,00e-09	1,87e-08	1,00e-09	2,50e-09
